STATION,C/A,UNIT,SCP,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               ,TalliedEntries,TalliedExits
HARRISON,PTH02,R544,00-00-04,1,PTH,05/02/2016,11:07:59,REGULAR,562,9,-159377,-2384901
INWOOD-207 ST,N001,R173,01-05-00,A,IND,05/02/2016,13:00:00,REGULAR,1,252,-67108871,-16776964
JAMAICA 179 ST,N342,R019,01-03-00,F,IND,04/30/2016,00:00:00,REGULAR,1077156,1134600,-222,0
JAMAICA CENTER,N606,R025,00-00-01,EJZ,IND,04/30/2016,00:00:00,RECOVR AUD,453,353,-184491,-84523
JAY ST-METROTEC,N103,R127,00-00-02,ACF,IND,05/03/2016,20:00:00,REGULAR,1240,426,-175408,-193013
JFK JAMAICA CT1,JFK03,R536,00-00-05,E,IND,05/01/2016,01:00:00,RECOVR AUD,0,0,-185173,-172206
JKSN HT-ROOSVLT,N323,R018,01-00-00,EFMR7,IND,05/19/2016,16:00:00,REGULAR,1290,443,-240705,-182057
JOURNAL SQUARE,PTH03,R552,00-00-06,1,PTH,05/26/2016,13:27:07,REGULAR,94,16,-174839,-38190
KINGS HWY,B024,R211,00-05-01,BQ,BMT,05/08/2016,12:00:00,REGULAR,229572623,763625432,0,-2
LACKAWANNA,PTH16,R550,01-00-03,1,PTH,05/02/2016,09:40:00,REGULAR,0,0,-185224,-655846
LEXINGTON AV/53,N305,R017,00-06-00,EM6,IND,04/30/2016,00:00:00,RECOVR AUD,161,254,-1605649,-573573
LEXINGTON AV/63,N601,R319,00-00-01,F,IND,04/30/2016,00:00:00,REGULAR,1760426711,48355307,-1377,-2001
MARCY AV,J002,R460,00-00-02,JMZ,BMT,05/02/2016,17:00:00,REGULAR,250,182,-2082158,-1423455
METROPOLITAN AV,K026,R100,00-00-01,M,BMT,04/30/2016,00:00:00,REGULAR,16548536,16656614,-341,-340
METS-WILLETS PT,R532,R328,00-06-04,7,IRT,05/27/2016,13:00:00,REGULAR,7,6,-725861,-273940
NEWARK BM BW,PTH18,R549,01-02-02,1,PTH,05/23/2016,08:06:37,REGULAR,130,1,-31435,-1741
NEWARK C,PTH19,R549,02-01-06,1,PTH,05/03/2016,06:26:50,REGULAR,0,0,-98942,-13227
PATH WTC,PTH08,R540,00-00-01,1,PTH,05/26/2016,11:40:32,REGULAR,77787,29450,-66457,-17966
PATH WTC 2,PTH21,R540,01-03-00,1,PTH,05/24/2016,02:41:54,REGULAR,13,44,-326195,-3657356
PAVONIA/NEWPORT,PTH06,R546,00-00-01,1,PTH,05/13/2016,12:47:00,REGULAR,0,20,-297769,-133455
SUTPHIN-ARCHER,N605,R024,00-00-01,EJZ,IND,05/21/2016,08:00:35,REGULAR,2816441,1012554,-2,-1
TIMES SQ-42 ST,R143,R032,01-00-01,1237ACENQRS,IRT,04/30/2016,00:00:00,RECOVR AUD,1793,1,-4313168,-3257094
TOMPKINSVILLE,S102,R165,00-05-01,1,SRT,05/04/2016,18:00:00,REGULAR,2,0,-727,0
